sampleID	library	index	LibraryPrep96Col	LibraryPrep96Row	SampleName
1	all	1	-	-	‡@-1-1 Col-0
2	all	2	-	-	‡@-1-2 Col-0
3	all	3	-	-	‡@-2-1 Col-0
4	all	4	-	-	‡@-2-2 Col-0
5	all	5	-	-	‡@-3-1 Col-0
6	all	6	-	-	‡@-3-2 Col-0
7	all	7	-	-	‡@-4-1 Col-0
8	all	8	-	-	‡@-4-2 Col-0
9	all	9	-	-	‡@-5-1 Col-0
10	all	10	-	-	‡@-5-2 Col-0
11	all	11	-	-	‡@-6-1 Col-0
12	all	12	-	-	‡@-7-1 Col-0
13	all	13	-	-	‡@-8-1 Col-0
14	all	14	-	-	‡@-1-1 jmj
15	all	15	-	-	‡@-1-2 jmj
16	all	16	-	-	‡@-2-1 jmj
17	all	17	-	-	‡@-2-2 jmj
18	all	18	-	-	‡@-3-1 jmj
19	all	19	-	-	‡@-3-2 jmj
20	all	20	-	-	‡@-4-1 jmj
21	all	21	-	-	‡@-4-2 jmj
22	all	22	-	-	‡@-5-1 jmj
23	all	23	-	-	‡@-5-2 jmj
24	all	24	-	-	‡@-6-1 jmj
25	all	25	-	-	‡@-6-2 jmj
26	all	26	-	-	‡@-7-1 jmj
27	all	27	-	-	‡@-7-2 jmj
28	all	28	-	-	‡@-8-1 jmj
29	all	29	-	-	‡@-8-2 jmj
30	all	30	-	-	‡A-1-1 Col-0
31	all	31	-	-	‡A-1-2 Col-0
32	all	32	-	-	‡A-2-1 Col-0
33	all	33	-	-	‡A-2-2 Col-0
34	all	34	-	-	‡A-3-1 Col-0
35	all	35	-	-	‡A-3-2 Col-0
36	all	36	-	-	‡A-4-1 Col-0
37	all	37	-	-	‡A-4-2 Col-0
38	all	38	-	-	‡A-5-1 Col-0
39	all	39	-	-	‡A-5-2 Col-0
40	all	40	-	-	‡A-6-1 Col-0
41	all	41	-	-	‡A-6-2 Col-0
42	all	42	-	-	‡A-7-1 Col-0
43	all	43	-	-	‡A-7-2 Col-0
44	all	44	-	-	‡A-8-1 Col-0
45	all	45	-	-	‡A-8-2 Col-0
46	all	46	-	-	‡A-1-1 jmj
47	all	47	-	-	‡A-1-2 jmj
48	all	48	-	-	‡A-2-1 jmj
49	all	49	-	-	‡A-2-2 jmj
50	all	50	-	-	‡A-3-1 jmj
51	all	51	-	-	‡A-3-2 jmj
52	all	52	-	-	‡A-4-1 jmj
53	all	53	-	-	‡A-4-2 jmj
54	all	54	-	-	‡A-5-1 jmj
55	all	55	-	-	‡A-5-2 jmj
56	all	56	-	-	‡A-6-1 jmj
57	all	57	-	-	‡A-6-2 jmj
58	all	58	-	-	‡A-7-1 jmj
59	all	59	-	-	‡A-7-2 jmj
60	all	60	-	-	‡A-8-1 jmj
61	all	61	-	-	‡A-8-2 jmj
62	all	62	-	-	‡C-1-1 Col-0
63	all	63	-	-	‡C-1-2 Col-0
64	all	64	-	-	‡C-2-1 Col-0
65	all	65	-	-	‡C-2-2 Col-0
66	all	66	-	-	‡C-3-1 Col-0
67	all	67	-	-	‡C-3-2 Col-0
68	all	68	-	-	‡C-4-1 Col-0
69	all	69	-	-	‡C-4-2 Col-0
70	all	70	-	-	‡C-5-1 Col-0
71	all	71	-	-	‡C-5-2 Col-0
72	all	72	-	-	‡C-6-1 Col-0
73	all	73	-	-	‡C-6-2 Col-0
74	all	74	-	-	‡C-7-1 Col-0
75	all	75	-	-	‡C-7-2 Col-0
76	all	76	-	-	‡C-8-1 Col-0
77	all	77	-	-	‡C-8-2 Col-0
78	all	78	-	-	‡C-1-1 jmj
79	all	79	-	-	‡C-1-2 jmj
80	all	80	-	-	‡C-2-1 jmj
81	all	81	-	-	‡C-2-2 jmj
82	all	82	-	-	‡C-3-1 jmj
83	all	83	-	-	‡C-3-2 jmj
84	all	84	-	-	‡C-4-1 jmj
85	all	85	-	-	‡C-4-2 jmj
86	all	86	-	-	‡C-5-1 jmj
87	all	87	-	-	‡C-5-2 jmj
88	all	88	-	-	‡C-6-1 jmj
89	all	89	-	-	‡C-6-2 jmj
90	all	90	-	-	‡C-7-1 jmj
91	all	91	-	-	‡C-7-2 jmj
92	all	92	-	-	‡C-8-1 jmj
93	all	93	-	-	‡C-8-2 jmj
