"sampleID"	"library"	"index"	"LibraryPrep96Col"	"LibraryPrep96Row"	"SampleName"
"all_001"	1	"all"	1	"-"	"-"	"‡@-1-1 Col-0"
"all_002"	2	"all"	2	"-"	"-"	"‡@-1-2 Col-0"
"all_003"	3	"all"	3	"-"	"-"	"‡@-2-1 Col-0"
"all_004"	4	"all"	4	"-"	"-"	"‡@-2-2 Col-0"
"all_005"	5	"all"	5	"-"	"-"	"‡@-3-1 Col-0"
"all_006"	6	"all"	6	"-"	"-"	"‡@-3-2 Col-0"
"all_007"	7	"all"	7	"-"	"-"	"‡@-4-1 Col-0"
"all_008"	8	"all"	8	"-"	"-"	"‡@-4-2 Col-0"
"all_009"	9	"all"	9	"-"	"-"	"‡@-5-1 Col-0"
"all_010"	10	"all"	10	"-"	"-"	"‡@-5-2 Col-0"
"all_011"	11	"all"	11	"-"	"-"	"‡@-6-1 Col-0"
"all_012"	12	"all"	12	"-"	"-"	"‡@-7-1 Col-0"
"all_013"	13	"all"	13	"-"	"-"	"‡@-8-1 Col-0"
"all_014"	14	"all"	14	"-"	"-"	"‡@-1-1 jmj"
"all_015"	15	"all"	15	"-"	"-"	"‡@-1-2 jmj"
"all_016"	16	"all"	16	"-"	"-"	"‡@-2-1 jmj"
"all_017"	17	"all"	17	"-"	"-"	"‡@-2-2 jmj"
"all_018"	18	"all"	18	"-"	"-"	"‡@-3-1 jmj"
"all_019"	19	"all"	19	"-"	"-"	"‡@-3-2 jmj"
"all_020"	20	"all"	20	"-"	"-"	"‡@-4-1 jmj"
"all_021"	21	"all"	21	"-"	"-"	"‡@-4-2 jmj"
"all_022"	22	"all"	22	"-"	"-"	"‡@-5-1 jmj"
"all_023"	23	"all"	23	"-"	"-"	"‡@-5-2 jmj"
"all_024"	24	"all"	24	"-"	"-"	"‡@-6-1 jmj"
"all_025"	25	"all"	25	"-"	"-"	"‡@-6-2 jmj"
"all_026"	26	"all"	26	"-"	"-"	"‡@-7-1 jmj"
"all_027"	27	"all"	27	"-"	"-"	"‡@-7-2 jmj"
"all_028"	28	"all"	28	"-"	"-"	"‡@-8-1 jmj"
"all_029"	29	"all"	29	"-"	"-"	"‡@-8-2 jmj"
"all_030"	30	"all"	30	"-"	"-"	"‡A-1-1 Col-0"
"all_031"	31	"all"	31	"-"	"-"	"‡A-1-2 Col-0"
"all_032"	32	"all"	32	"-"	"-"	"‡A-2-1 Col-0"
"all_033"	33	"all"	33	"-"	"-"	"‡A-2-2 Col-0"
"all_034"	34	"all"	34	"-"	"-"	"‡A-3-1 Col-0"
"all_035"	35	"all"	35	"-"	"-"	"‡A-3-2 Col-0"
"all_036"	36	"all"	36	"-"	"-"	"‡A-4-1 Col-0"
"all_037"	37	"all"	37	"-"	"-"	"‡A-4-2 Col-0"
"all_038"	38	"all"	38	"-"	"-"	"‡A-5-1 Col-0"
"all_039"	39	"all"	39	"-"	"-"	"‡A-5-2 Col-0"
"all_040"	40	"all"	40	"-"	"-"	"‡A-6-1 Col-0"
"all_041"	41	"all"	41	"-"	"-"	"‡A-6-2 Col-0"
"all_042"	42	"all"	42	"-"	"-"	"‡A-7-1 Col-0"
"all_043"	43	"all"	43	"-"	"-"	"‡A-7-2 Col-0"
"all_044"	44	"all"	44	"-"	"-"	"‡A-8-1 Col-0"
"all_045"	45	"all"	45	"-"	"-"	"‡A-8-2 Col-0"
"all_046"	46	"all"	46	"-"	"-"	"‡A-1-1 jmj"
"all_047"	47	"all"	47	"-"	"-"	"‡A-1-2 jmj"
"all_048"	48	"all"	48	"-"	"-"	"‡A-2-1 jmj"
"all_049"	49	"all"	49	"-"	"-"	"‡A-2-2 jmj"
"all_050"	50	"all"	50	"-"	"-"	"‡A-3-1 jmj"
"all_051"	51	"all"	51	"-"	"-"	"‡A-3-2 jmj"
"all_052"	52	"all"	52	"-"	"-"	"‡A-4-1 jmj"
"all_053"	53	"all"	53	"-"	"-"	"‡A-4-2 jmj"
"all_054"	54	"all"	54	"-"	"-"	"‡A-5-1 jmj"
