,corcoef
AT2G21390.1,0.138738228
AT2G09135.1,0.198669131
AT1G64560.1,0.252132737
AT4G29180.3,0.133511287
AT4G23200.1,0.126695213
AT1G05250.1,0.220332048
AT2G23160.1,0.191869453
AT4G29940.1,0.323032077
AT4G27395.1,0.230985256
AT2G31865.3,0.076901189
AT3G07115.1,0.098896606
AT2G21570.1,0.118061974
AT1G07310.1,0.05202797
AT5G20300.4,0.10112759
AT4G29580.2,0.115911771
AT1G09735.2,0.066207145
AT1G12430.1,0.080253088
AT1G50880.1,0.175444179
AT1G04820.1,0.168344282
AT2G30750.1,0.209271736
AT2G37010.1,0.209271736
AT1G36035.1,0.07069125
AT5G52900.1,0.14340259
AT1G33055.1,0.15694692
AT2G40380.1,0.179121722
AT4G30060.1,0.12889825
AT1G06040.1,0.127240985
AT3G61280.2,0.243520053
AT3G29525.1,0.141460309
AT3G18960.1,0.214581236
AT4G14750.3,0.085850122
ATCG01060.1,0.123000366
AT4G16935.1,0.352808568
AT3G32310.1,0.073380277
AT1G65770.1,0.145143571
AT2G37570.1,0.151010705
AT1G56050.1,0.194380209
AT2G22155.1,0.206499113
AT1G21430.1,0.329405509
AT5G40660.1,0.216202629
AT5G38800.1,0.181981
AT2G05195.1,0.171457837
AT2G20930.1,0.327868784
AT3G55980.2,0.05738702
AT1G46984.1,0.227787229
AT1G09157.1,0.216816793
AT1G63240.1,0.287196518
AT5G61490.1,0.211223076
AT2G12640.1,0.051263945
AT5G26130.1,0.163179999
AT4G34975.1,0.089858497
AT1G06023.1,0.109808118
AT4G25390.1,0.199979348
AT2G38030.1,0.168835035
AT3G52000.1,0.186529527
AT3G32028.1,0.188284365
AT3G04525.1,0.37412043
AT1G05800.1,0.186213637
AT5G03345.2,0.100918109
AT4G38050.1,0.096636626
AT5G50365.1,0.365963911
AT2G12580.1,0.176092792
AT5G18200.1,0.174219471
AT5G01280.2,0.210549562
AT5G42000.2,0.126541361
AT3G21481.1,0.141529645
AT2G35384.1,0.100799432
AT4G05595.1,0.1101271
AT5G57710.1,0.081180106
AT1G28050.1,0.130848747
AT1G07900.1,0.096570932
AT2G04285.1,0.179383969
AT5G16910.1,0.233594779
AT2G35160.3,0.214257786
AT1G05930.1,0.195314802
AT4G33430.2,0.170851852
AT2G34780.1,0.169709362
AT1G60170.1,0.298307682
AT4G08868.1,0.193909431
AT5G38560.1,0.112243042
AT5G11450.2,0.142283211
AT5G26667.4,0.30417384
AT4G01980.1,0.193622702
AT3G09100.2,0.072396665
AT1G56330.1,0.313083487
AT5G07295.1,0.29291925
AT5G28970.1,0.279464017
AT4G16870.1,0.197635621
AT5G16990.1,0.15267497
AT2G11420.1,0.313328524
AT1G67220.1,0.052208907
AT2G01900.1,0.126075868
AT1G67330.1,0.13340217
AT3G03410.1,0.144481693
AT1G43725.1,0.178360802
AT2G44750.2,0.090550751
AT5G57950.2,0.205133228
AT2G12230.1,0.204098447
AT4G07375.1,0.051633921
AT4G36120.1,0.107272867
AT5G61495.1,0.202664782
AT2G00490.1,0.228872467
AT3G47650.1,0.102257954
AT3G28970.1,0.095015317
AT4G06539.1,0.158460724
AT3G05345.1,0.186161169
AT2G25110.1,0.186161169
AT3G29460.1,0.252751498
AT1G35940.1,0.177102002
AT5G17420.1,0.065255746
AT5G26910.4,0.221904095
AT5G33438.1,0.139316238
AT3G07005.1,0.258672807
AT5G08725.1,0.070278808
AT3G25940.1,0.348333979
AT3G27050.1,0.101392874
AT2G40530.1,0.298654852
AT4G22380.1,0.192229084
AT5G42240.1,0.139676558
AT5G40540.2,0.105103417
AT3G02750.1,0.088113096
AT2G45330.1,0.118062265
AT3G31996.1,0.100431469
AT5G38790.1,0.123416905
AT3G13672.1,0.215764845
AT4G17250.1,0.318599567
AT1G01720.1,0.109660359
AT1G64618.1,0.217977075
AT5G55040.1,0.202820753
AT2G25770.2,0.199232582
AT1G62680.2,0.184106563
AT4G07917.1,0.17145244
AT4G28860.1,0.123220716
AT2G36830.1,0.145764859
AT5G04110.3,0.216069824
AT3G47120.1,0.133705315
AT2G47000.2,0.093321585
AT5G16505.1,0.163257243
AT2G17700.1,0.114750109
AT2G10690.1,0.062114382
AT4G03960.1,0.068333939
AT3G00330.1,0.090775306
AT5G29571.1,0.190300831
AT1G20930.1,0.073246173
AT4G03760.1,0.14047475
AT5G46874.1,0.226439073
AT3G50700.1,0.204893471
AT1G29330.1,0.202889357
AT2G41420.1,0.171216583
AT1G57010.1,0.128180047
AT2G33730.1,0.060029147
AT1G68765.1,0.069145916
AT1G72860.1,0.139078374
AT3G31460.1,0.131465308
AT4G07205.1,0.173512788
AT5G53815.1,0.056671083
AT1G21510.1,0.12900963
AT1G42718.1,0.088946733
AT3G08105.1,0.357142458
AT2G43320.1,0.050709189
AT3G42254.1,0.086691074
AT1G09287.1,0.206069522
AT3G04895.1,0.074854194
AT4G17914.1,0.102598896
AT5G27220.1,0.217675931
AT1G12130.1,0.322690303
AT1G04600.1,0.076619461
AT5G01895.1,0.234247703
AT1G07743.1,0.117351292
AT5G24430.1,0.273258315
AT4G39530.1,0.076208596
AT2G05300.2,0.131202706
AT2G46130.1,0.065994121
AT3G06280.1,0.152865014
AT2G14150.1,0.365712878
AT1G24180.1,0.255595741
AT3G53130.1,0.164177744
AT5G67420.2,0.312848086
AT3G16890.1,0.156771691
AT5G34860.1,0.127228518
AT5G09635.1,0.252413509
AT5G32017.1,0.241048264
AT1G58300.1,0.312506443
AT5G48680.1,0.255460631
AT4G18340.2,0.225352085
AT5G28671.1,0.071947798
AT1G34822.1,0.079406841
AT4G24990.2,0.171044986
AT2G21040.1,0.209760481
AT4G17820.1,0.203368059
AT2G22370.1,0.098985923
AT2G44140.1,0.162537363
AT5G57420.1,0.192165131
AT1G33800.1,0.192165131
AT5G58950.1,0.149228325
AT5G25625.1,0.087887466
AT1G04650.1,0.237409496
AT1G17250.1,0.107003823
AT4G32490.1,0.136269075
AT1G60760.1,0.259719607
AT5G47120.1,0.189709867
AT4G15440.1,0.117559162
AT5G39155.1,0.133920023
AT4G06770.1,0.069667469
ATMG00920.1,0.052024651
AT3G47550.2,0.272291809
AT3G43442.1,0.148870518
AT2G36792.2,0.141467682
AT1G30030.1,0.218966538
AT4G17720.1,0.211124753
AT1G07277.1,0.164845586
AT1G54870.2,0.130774979
AT1G51340.2,0.263376678
AT5G08795.1,0.195069345
AT2G25312.1,0.133305654
AT2G05910.1,0.244767693
AT4G24652.1,0.175865988
AT1G27160.1,0.179399184
AT3G19690.1,0.066905864
AT1G48560.1,0.22872665
AT4G14630.1,0.109348523
AT2G09215.1,0.127716429
AT5G54130.2,0.065874276
AT1G74960.2,0.150432772
AT4G00295.1,0.181721063
AT2G30615.1,0.16810597
AT5G09465.1,0.189972451
AT2G09925.1,0.14921339
AT1G08870.1,0.07442342
AT5G47700.1,0.239636699
AT1G25370.2,0.120267676
AT4G06145.1,0.434741755
AT2G31380.1,0.062729849
AT4G06845.1,0.262861634
AT1G80830.1,0.183319306
AT3G11500.2,0.11840606
AT4G04255.1,0.136313516
AT3G01145.1,0.216363115
AT1G54030.2,0.140194063
AT1G09233.1,0.255997292
AT2G03900.1,0.149874649
AT2G29485.1,0.147583595
AT2G21270.2,0.114339091
AT1G04033.1,0.222111227
AT2G07760.1,0.162475602
AT3G19380.1,0.182457655
AT5G56190.6,0.077761674
AT4G25900.1,0.176306107
AT1G62780.1,0.10333493
AT3G03665.1,0.126126335
AT1G09523.1,0.309685953
AT4G04595.1,0.190572069
AT1G13670.1,0.161792923
AT2G06303.1,0.059780526
AT1G73655.1,0.101888544
AT4G26870.1,0.090592989
AT3G62760.1,0.207985427
AT4G27910.1,0.290564508
AT1G69830.1,0.072018848
AT3G03330.1,0.119473798
AT3G63215.1,0.185380681
AT3G60966.1,0.125656348
AT3G25620.1,0.198882418
AT1G54000.1,0.120710683
AT5G65970.1,0.204559698
AT1G09693.1,0.082744724
AT3G16050.1,0.187388267
AT5G62080.1,0.227077806
